disease,symptoms,precautions,specialist,urgency
Aplastic Anemia,"pancytopenia, fatigue, infections, bleeding, pallor","Immunosuppression (ATG, cyclosporine), stem cell transplant, supportive care, avoid marrow toxins",Hematologist,High
Appendicitis,"periumbilical pain migrating to RLQ, nausea, fever, anorexia, rebound tenderness","Emergency appendectomy, IV fluids, antibiotics, avoid laxatives",General Surgeon,High
Arrhythmia,"palpitations, dizziness, chest fluttering, fainting, shortness of breath","Avoid stimulants, medications, ablation if needed, monitor pulse",Cardiologist,Medium
Arrhythmia (Atrial Fibrillation),"palpitations, dizziness, chest fluttering, fainting, shortness of breath","Avoid stimulants, medications, ablation if needed, monitor pulse",Cardiologist,Medium
Arthritis (Juvenile Idiopathic),"joint swelling, pain, stiffness, limp, fever","NSAIDs, disease-modifying antirheumatic drugs, physical therapy, eye exams",Rheumatologist,Medium
Ascariasis,"abdominal discomfort, malnutrition, cough (larval migration), visible worms in stool, bowel obstruction","Albendazole or mebendazole, hygiene, proper sewage disposal, handwashing",General Practitioner,Medium
Asperger Syndrome,"difficulty with social interactions, restricted interests, repetitive behaviors, clumsy motor skills, excellent verbal memory","Behavioral therapy, social skills training, occupational therapy, educational support",Psychiatrist,Medium
Aspergillosis,"wheezing, cough (with blood), fever, chest pain, shortness of breath","Antifungals (voriconazole), surgery for aspergilloma, manage underlying lung disease, avoid mold exposure",Infectious Disease Specialist,High
Asthma,"wheezing, shortness of breath, chest tightness, coughing, rapid breathing","Use rescue inhaler, avoid triggers, monitor peak flow",Pulmonologist,High
Astrovirus Infection,"mild watery diarrhea, nausea, low fever, abdominal pain, headache","Supportive care, hydration, hand hygiene, no specific treatment",General Practitioner,Low
Ataxia Telangiectasia,"progressive cerebellar ataxia, oculocutaneous telangiectasias, immune deficiency, recurrent sinopulmonary infections, increased cancer risk","Physical/occupational therapy, IVIG for immune deficiency, cancer surveillance, genetic counseling",Neurologist,High
Atrial Myxoma,"shortness of breath (worse lying down), fever, weight loss, Raynaud's phenomenon, stroke-like episodes","Surgical resection, echocardiogram surveillance, avoid embolization, treat heart failure",Cardiologist,High
Atrial Septal Defect,"shortness of breath, fatigue, heart palpitations, stroke, poor growth in children","Surgical or catheter closure, regular follow-up, endocarditis prophylaxis, monitor pulmonary pressure",Cardiologist,Medium
Autism Spectrum Disorder,"social communication deficits, repetitive behaviors, restricted interests, sensory issues","Behavioral interventions (ABA), speech/occupational therapy, social skills training, medications for comorbidities",Psychiatrist,Medium
Babesiosis,"fever, chills, sweats, fatigue, hemolytic anemia","Atovaquone + azithromycin or clindamycin + quinine, avoid tick bites, blood screening",Infectious Disease Specialist,High
Bacterial Vaginosis,"thin gray/white discharge, fishy odor, vaginal itching, burning during urination","Metronidazole or clindamycin (oral or vaginal), avoid douching, probiotics, treat sexual partners not needed",Gynecologist,Low
Balance Disorder (Vestibular),"dizziness, vertigo, unsteadiness, nausea, blurred vision with head movement","Vestibular rehabilitation, fall prevention, treat underlying cause, avoid rapid head movements",Otolaryngologist,Medium
Barrett's Esophagus,"chronic heartburn, regurgitation, difficulty swallowing, chest pain, no symptoms in many","PPIs, endoscopic surveillance for dysplasia, radiofrequency ablation, avoid trigger foods",Gastroenterologist,Medium
Bartter Syndrome,"hypokalemia, metabolic alkalosis, polyuria, polydipsia, muscle weakness","Potassium and magnesium supplements, NSAIDs, ACE inhibitors, monitor electrolytes",Nephrologist,Medium
Basal Cell Carcinoma,"pearly nodule, telangiectasias, bleeding, ulceration, waxy scar","Surgical excision, Mohs surgery, sun avoidance, regular follow-up",Dermatologist,Medium
Becker Muscular Dystrophy,"proximal muscle weakness (onset later than Duchenne), calf hypertrophy, cardiomyopathy, contractures, respiratory involvement","Corticosteroids, physical therapy, cardiac/respiratory monitoring, avoid obesity",Neurologist,Medium
Behçet's Disease,"oral aphthous ulcers, genital ulcers, uveitis, skin lesions (pseudofolliculitis), arthritis","Colchicine, corticosteroids, immunosuppressants (azathioprine, TNF inhibitors), eye care",Rheumatologist,High
Bell's Palsy,"unilateral facial droop, drooling, decreased taste, ear pain, difficulty closing eye","Corticosteroids within 72h, antivirals if severe, eye lubrication, physical therapy",Neurologist,Medium
Benign Prostatic Hyperplasia,"frequent urination, weak stream, urgency, nocturia, dribbling","Alpha-blockers, 5-ARIs, reduce caffeine, bladder training",Urologist,Medium
Benzodiazepine Overdose,"drowsiness, slurred speech, ataxia, coma, respiratory depression","Flumazenil (cautious, may provoke seizures), supportive care, airway protection, activated charcoal",Emergency Physician,High
Beriberi (Thiamine Deficiency),"peripheral neuropathy, muscle wasting, edema (wet beriberi), tachycardia, confusion","Thiamine supplementation, nutritional support, avoid alcohol, treat underlying malabsorption",General Practitioner,Medium
Bile Duct Cancer (Cholangiocarcinoma),"jaundice, abdominal pain, weight loss, pruritus, dark urine","Surgical resection, biliary stenting, chemotherapy, radiation, endoscopic retrograde cholangiopancreatography",Oncologist,High
Binge Eating Disorder,"recurrent episodes of eating large amounts rapidly, distress, no compensatory behaviors, weight gain, guilt","CBT, interpersonal therapy, lisdexamfetamine, nutritional counseling, treat comorbidities",Psychiatrist,Medium
Bipolar Disorder,"mania (elevated mood, decreased need sleep, impulsivity), depression, mixed episodes","Mood stabilizers (lithium), antipsychotics, psychotherapy, regular sleep",Psychiatrist,High
Bladder Cancer,"hematuria, dysuria, frequency, back pain, pelvic pain","Smoking cessation, cystoscopy, surgery, immunotherapy",Urologist,High
Blepharitis,"redness of eyelids, itching, burning, crusting at eyelid margins, dry eyes","Warm compresses, eyelid hygiene, artificial tears, treat underlying rosacea",Ophthalmologist,Low
Botulism,"descending paralysis, ptosis, dysphagia, dry mouth, respiratory failure","Antitoxin (equine/heptavalent), supportive care (ventilation), wound debridement, monitor for relapse",Infectious Disease Specialist,High
Brain Abscess,"severe headache, fever, neurological deficits (weakness, speech problems), nausea, seizures","Antibiotics (empiric then targeted), surgical drainage, steroids for edema, treat source",Neurosurgeon,High
Brain Aneurysm,"sudden severe thunderclap headache, nausea, vomiting, neck stiffness, vision changes","Emergency coiling or clipping, BP control, avoid straining, monitor for re-bleed",Neurosurgeon,High
Brain Tumor (Glioma),"headache (worse morning), seizures, focal neurological deficits, personality changes, nausea","Surgical resection, radiation, chemotherapy (temozolomide), steroids for edema",Neurosurgeon,High
Breast Cancer,"breast lump, dimpling, nipple discharge, skin changes, swollen lymph nodes","Mammography, biopsy, surgery, chemo, hormonal therapy",Oncologist,High
Bronchiectasis,"chronic productive cough, copious sputum, shortness of breath, recurrent infections, hemoptysis","Airway clearance techniques, bronchodilators, antibiotics for exacerbations, treat underlying cause",Pulmonologist,High
Bronchiolitis (in infants),"runny nose, cough, wheezing, rapid breathing, difficulty feeding","Supportive care, hydration, oxygen if needed, nasal suction, avoid smoke exposure",Pediatrician,High
Bronchitis,"persistent cough, mucus production, fatigue, mild fever, chest discomfort","Rest, steam inhalation, avoid smoking, hydration",General Practitioner,Medium
Brucellosis,"undulant fever, night sweats, arthralgia, hepatosplenomegaly, fatigue","Doxycycline + rifampin or streptomycin, avoid unpasteurized dairy, relapse common",Infectious Disease Specialist,Medium
Bulimia Nervosa,"binge eating, compensatory behaviors (vomiting, laxatives), preoccupation weight, electrolyte imbalance","CBT, nutritional counseling, SSRIs, monitor electrolytes, stop purging",Psychiatrist,High
Burkitt Lymphoma,"rapidly enlarging abdominal mass (sporadic), jaw mass (endemic), fever, night sweats, weight loss","Intensive chemotherapy (CODOX-M/IVAC), rituximab, supportive care, prevent tumor lysis",Oncologist,High
C. difficile Infection,"watery diarrhea, fever, abdominal pain, loss of appetite, colitis","Stop antibiotics if possible, oral vancomycin, probiotics, hand hygiene",Gastroenterologist,High
COPD,"chronic cough, sputum production, shortness of breath, wheezing, fatigue","Smoking cessation, pulmonary rehab, oxygen if needed, avoid pollutants",Pulmonologist,High
COVID-19,"fever, dry cough, loss of taste/smell, shortness of breath, fatigue","Isolate, test, monitor oxygen, seek emergency if breathing worsens",Pulmonologist,High
Campylobacteriosis,"bloody diarrhea, fever, abdominal pain, cramps, nausea","Fluids, electrolytes, azithromycin if severe, avoid raw poultry, hand washing",General Practitioner,Medium
Cancer of Unknown Primary,"weight loss, fatigue, pain, lymphadenopathy, specific symptoms depending on metastases","Biopsy, imaging (PET/CT), chemotherapy, targeted therapy based on immunohistochemistry, supportive care",Oncologist,Medium
Candidiasis (Oral Thrush),"white plaques on tongue/inner cheek, redness, soreness, difficulty swallowing, loss of taste","Antifungals (nystatin, fluconazole), good oral hygiene, treat underlying immunosuppression",General Practitioner,Low
Carbon Monoxide Poisoning,"headache, dizziness, nausea, cherry-red skin (rare), confusion","100% oxygen, hyperbaric oxygen if severe, remove from exposure, monitor neurological function",Emergency Physician,High
Carcinoid Syndrome,"flushing (face/neck), diarrhea, wheezing, abdominal pain, heart palpitations","Somatostatin analogs, surgery for primary tumor, anti-diarrheals, monitor for carcinoid heart disease",Oncologist,Medium
Cardiomyopathy (Dilated),"shortness of breath, fatigue, leg swelling, palpitations, dizziness","ACE inhibitors, beta-blockers, diuretics, avoid alcohol, implantable cardioverter-defibrillator",Cardiologist,High
Carpal Tunnel Syndrome,"numbness/tingling in thumb/index/middle, hand pain at night, weakness, clumsiness","Wrist splint, NSAIDs, corticosteroid injection, surgery if severe",Orthopedist,Medium
Cat Scratch Disease,"fever, lymphadenopathy (painful near scratch), papule at scratch site, fatigue, headache","Azithromycin or doxycycline, wash cat scratches, avoid kittens, immune competent self-limited",Infectious Disease Specialist,Medium
Cataracts,"blurry vision, glare at night, faded colors, double vision in one eye, frequent prescription changes","Surgery when symptomatic, UV protection, magnifying aids, regular check-ups",Ophthalmologist,Medium
Celiac Disease,"diarrhea, bloating, fatigue, anemia, weight loss, dermatitis herpetiformis","Strict gluten-free diet, nutritional supplements, monitor bone density, gastroenterology follow-up",Gastroenterologist,Medium
Cellulitis,"redness, warmth, swelling, tenderness, fever","Oral or IV antibiotics, elevate limb, monitor for abscess, treat portal of entry",Dermatologist,Medium
Cerebral Palsy,"spasticity, motor delay, abnormal gait, contractures, intellectual disability (variable)","Physical/occupational/speech therapy, botulinum toxin, orthopedic surgery, seizure management",Physiatrist,Medium
Cervical Cancer,"abnormal bleeding, pelvic pain, painful intercourse, watery discharge, hematuria","HPV vaccination, Pap screening, surgery, radiation, chemotherapy",Oncologist,High
Cervical Dystonia,"neck muscle spasms, abnormal head posture, pain, tremor, headache","Botulinum toxin injections, physical therapy, oral medications (anticholinergics), stress management",Neurologist,Medium
Chagas Disease,"acute: fever, swelling at bite site (Romaña's sign), chronic: megacolon, cardiomyopathy, dysphagia","Benznidazole or nifurtimox (acute/early chronic), treat CHF/arrhythmias, avoid reduviid bugs",Infectious Disease Specialist,High
Chancroid,"painful genital ulcers, painful inguinal lymphadenopathy (bubo), purulent discharge, fever","Azithromycin or ceftriaxone, treat sexual partners, safe sex, wound care",Infectious Disease Specialist,High
Chickenpox,"vesicular rash (itchy), fever, fatigue, headache, loss of appetite","Antihistamines, cool baths, avoid scratching, vaccination, antivirals if severe",General Practitioner,Low
Chikungunya,"high fever, severe arthralgia (debilitating), rash, myalgia, headache","Supportive care (NSAIDs, fluids), avoid aspirin, mosquito repellent, chronic arthritis possible",Infectious Disease Specialist,Medium
Chlamydia,"often asymptomatic, dysuria, discharge, testicular pain, rectal pain","Antibiotics (azithromycin), treat partners, retest, abstain during treatment",Infectious Disease Specialist,Medium
Cholangiocarcinoma (Intrahepatic),"jaundice, abdominal pain, weight loss, pruritus, fatigue","Surgical resection (if early), biliary drainage, chemotherapy (gemcitabine+cisplatin), targeted therapy",Oncologist,High
Cholera,"profuse watery diarrhea (rice water), vomiting, rapid dehydration, leg cramps","Oral rehydration salts, IV fluids, doxycycline/azithromycin, sanitation, safe water",Infectious Disease Specialist,High
Chondrosarcoma,"bone pain (deep, aching), swelling near joint, pathological fracture, palpable mass","Surgical wide excision, radiation for inoperable, chemotherapy not effective, follow-up imaging",Orthopedist,High
Chorea (Huntington's),"involuntary choreiform movements, cognitive decline, psychiatric symptoms, difficulty swallowing, gait impairment","Tetrabenazine for chorea, antidepressants, genetic counseling, physical/occupational therapy",Neurologist,High
Chorioamnionitis,"maternal fever, uterine tenderness, foul amniotic fluid, maternal/fetal tachycardia, labor abnormalities","IV antibiotics, delivery (induction or C-section), neonatal antibiotics, monitor for sepsis",Obstetrician,High
Chronic Fatigue Syndrome,"severe fatigue, post-exertional malaise, unrefreshing sleep, cognitive issues, orthostatic intolerance","Activity pacing, sleep hygiene, CBT, graded exercise therapy (controversial)",General Practitioner,Medium
Chronic Granulomatous Disease,"recurrent bacterial/fungal infections (catalase-positive organisms), lymphadenitis, hepatosplenomegaly, pneumonia, inflammatory bowel disease","Prophylactic antibiotics (TMP-SMX) and antifungals (itraconazole), interferon-gamma, stem cell transplant",Immunologist,High
Chronic Kidney Disease,"fatigue, swelling, decreased urine, shortness of breath, nausea","Control BP, low-protein diet, dialysis if advanced, avoid NSAIDs",Nephrologist,High
Chronic Lymphocytic Leukemia,"lymphadenopathy, fatigue, recurrent infections, anemia, thrombocytopenia","Watchful waiting for early stage, targeted therapy (ibrutinib, venetoclax), chemotherapy, immunotherapy",Oncologist,Medium
Chronic Myeloid Leukemia,"fatigue, weight loss, night sweats, splenomegaly, low-grade fever","Tyrosine kinase inhibitors (imatinib), monitor BCR-ABL, allogeneic transplant if resistant",Oncologist,Medium
Chronic Obstructive Pulmonary Disease (COPD),"chronic cough, sputum production, shortness of breath, wheezing, fatigue","Smoking cessation, pulmonary rehab, oxygen if needed, avoid pollutants",Pulmonologist,High
Churg-Strauss Syndrome (Eosinophilic Granulomatosis with Polyangiitis),"asthma, eosinophilia, mononeuritis multiplex, rash, nasal polyps","Corticosteroids, mepolizumab, cyclophosphamide for severe, avoid triggers",Rheumatologist,High
Cirrhosis,"fatigue, jaundice, ascites, easy bleeding, confusion","Avoid alcohol, low-sodium diet, diuretics, monitor for liver cancer",Hepatologist,High
Cleft Lip and Palate,"cleft in lip or palate, feeding difficulties, speech problems, dental abnormalities, recurrent ear infections","Surgical repair (lip 3-6 months, palate 9-12 months), feeding support, speech therapy, orthodontics",Plastic Surgeon,Medium
Clonorchiasis,"fatigue, abdominal discomfort, diarrhea, later jaundice, cholangiocarcinoma risk","Praziquantel, avoid raw freshwater fish, treat all family members, ultrasound follow-up",Gastroenterologist,Medium
Cluster Headache,"severe unilateral eye pain, tearing, nasal congestion, restlessness","Oxygen therapy, triptans, avoid alcohol, preventive medications",Neurologist,High
Cocaine Toxicity,"agitation, chest pain, hypertension, tachycardia, seizure, hyperthermia","Benzodiazepines, cooling, IV fluids, treat arrhythmias, avoid beta-blockers",Emergency Physician,High
Coccidioidomycosis (Valley Fever),"fever, cough, chest pain, fatigue, erythema nodosum","Antifungals (fluconazole, itraconazole) for severe/risk groups, avoid dust in endemic areas, supportive care",Infectious Disease Specialist,Medium
Cold Agglutinin Disease,"acrocyanosis (blue fingers/toes in cold), hemolytic anemia, fatigue, dark urine, Raynaud's phenomenon","Avoid cold exposure, rituximab, treat underlying lymphoma, blood transfusions (warmed), immunosuppression",Hematologist,Medium
Common Cold,"runny nose,nasal congestion, sneezing, mild sore throat, congestion, low-grade fever","Rest, hydration, saline spray, hand hygiene",General Practitioner,Low
Complex Regional Pain Syndrome,"severe burning pain, swelling, color changes, temperature changes, allodynia","Physical therapy, pain meds (gabapentin), sympathetic nerve blocks, psychotherapy",Pain Specialist,High
Condyloma Acuminata (Genital Warts),"flesh-colored or grey bumps in genital area, cauliflower-like clusters, itching, bleeding during intercourse, urethral meatus involvement","Cryotherapy, topical podophyllin, imiquimod, HPV vaccination, safe sex",Dermatologist,Low
Conjunctivitis,"redness, itching, discharge, tearing, crusting","Hand hygiene, avoid sharing towels, warm compresses, artificial tears",Ophthalmologist,Low
Conjunctivitis (Bacterial),"redness, thick yellow/green discharge, crusting, sticky eyelids, foreign body sensation","Antibiotic eye drops, hand hygiene, avoid contact lenses, warm compresses",Ophthalmologist,Low
Conjunctivitis (Viral),"redness, watery discharge, itching, tearing, preauricular lymphadenopathy","Cool compresses, artificial tears, hand hygiene, avoid sharing towels, self-limited",Ophthalmologist,Low
Contact Dermatitis,"localized redness, blisters, itching, burning, dry cracked skin","Identify and avoid allergen, barrier creams, topical steroids, cool compresses",Dermatologist,Low
Conversion Disorder,"sudden onset of neurological symptoms (weakness, seizures, blindness) without organic cause, often after stress, indifference to symptoms","CBT, physical therapy, treat underlying psychiatric condition, avoid unnecessary procedures",Psychiatrist,Medium
Coronary Artery Disease,"chest pain (angina), shortness of breath, fatigue, palpitations, jaw pain","Healthy diet, exercise, statins, avoid smoking",Cardiologist,High
Creutzfeldt-Jakob Disease (CJD),"rapidly progressive dementia, myoclonus, ataxia, visual disturbances, akinetic mutism","Supportive care, infection control (prion), no curative treatment, avoid iatrogenic transmission",Neurologist,High
Crohn's Disease,"diarrhea, abdominal pain, weight loss, fever, perianal disease","Immunosuppressants, biologics, nutritional support, avoid smoking",Gastroenterologist,High
Croup (Laryngotracheobronchitis),"barking cough, stridor, hoarseness, respiratory distress, worse at night","Humidified air, oral corticosteroids (dexamethasone), nebulized epinephrine if severe, keep calm",Pediatrician,Medium
Cryptococcosis,"headache, fever, neck stiffness (meningitis), cough, shortness of breath (pneumonia), skin lesions","Antifungals (amphotericin B + flucytosine then fluconazole), manage intracranial pressure, treat HIV if present",Infectious Disease Specialist,High
Cryptosporidiosis,"watery diarrhea, abdominal cramps, nausea, low-grade fever, dehydration","Supportive care (oral rehydration), nitazoxanide, avoid swimming pools, immunocompromised severe",Infectious Disease Specialist,Medium
Cushing's Syndrome,"weight gain (face/trunk), purple striae, hypertension, diabetes, easy bruising","Treat underlying cause, reduce steroids, monitor BP, bone density",Endocrinologist,High
Cutaneous Larva Migrans,"serpiginous, pruritic rash on feet/buttocks, track-like lesion, redness, swelling","Ivermectin or albendazole, wear shoes on beaches, avoid fecal contamination, symptomatic relief",Dermatologist,Low
Cyanide Poisoning,"sudden headache, confusion, seizures, coma, cherry-red skin, hypotension","Cyanide antidote kit (amyl nitrite, sodium thiosulfate), hydroxocobalamin, oxygen",Emergency Physician,High
Cyclosporiasis,"explosive watery diarrhea, nausea, loss of appetite, weight loss, fatigue","Trimethoprim-sulfamethoxazole, hydration, avoid imported produce, hand hygiene",General Practitioner,Medium
Cystic Fibrosis,"chronic cough, thick mucus, recurrent infections, pancreatic insufficiency, salty sweat","Airway clearance, pancreatic enzymes, CFTR modulators, nutritional support, transplant",Pulmonologist,High
Cysticercosis,"neurocysticercosis (seizures, headaches, hydrocephalus), subcutaneous nodules, vision changes","Antiparasitic (albendazole/praziquantel) plus corticosteroids, surgery if needed, sanitation",Neurologist,High
Cystinuria,"recurrent kidney stones (cystine), hematuria, flank pain, urinary obstruction, stone formation from young age","Hydration (>3L/day), alkalization (potassium citrate), chelators (tiopronin), dietary sodium restriction",Nephrologist,Medium
Cytomegalovirus (CMV) Infection,"fever, fatigue, lymphadenopathy, hepatitis, retinitis (immunocompromised)","Antivirals (ganciclovir, valganciclovir) for severe/immunocompromised, hand hygiene, avoid sick contacts",Infectious Disease Specialist,Medium
Dandy-Walker Malformation,"enlarged head (hydrocephalus), developmental delay, poor coordination, seizures, abnormal eye movements","VP shunt for hydrocephalus, physical/occupational therapy, treat seizures, genetic counseling",Neurosurgeon,High
Deep Vein Thrombosis,"leg swelling, pain, warmth, redness, discoloration","Anticoagulation, compression stockings, leg elevation, avoid prolonged sitting",Vascular Surgeon,High
Dehydration,"thirst, dry mouth, decreased urine output, dizziness, fatigue","Oral rehydration salts, IV fluids if severe, replace electrolytes, treat underlying cause",General Practitioner,Medium
Dengue Fever,"high fever, severe headache, retro-orbital pain, joint pain, rash","Hydration, avoid NSAIDs (risk bleeding), mosquito avoidance, hospital if bleeding",Infectious Disease Specialist,High
Depression,"persistent sadness, loss of interest, fatigue, sleep disturbance, appetite change, suicidal thoughts","Psychotherapy (CBT), antidepressants, exercise, social support, safety plan",Psychiatrist,Medium
Dermatomyositis,"heliotrope rash, Gottron's papules, proximal muscle weakness, dysphagia, mechanic's hands","Corticosteroids, methotrexate, IVIG, sun protection, physical therapy",Rheumatologist,High
Dermatosis (Diabetic Dermopathy),"shiny, oval brown patches on shins, no symptoms, scaling, mild redness","Blood sugar control, moisturizer, avoid trauma, no specific treatment needed",Dermatologist,Low
Dermatosis (Lichen Simplex Chronicus),"thick, leathery skin patches, intense itching, scratch marks, lichenification, hyperpigmentation","Topical steroids, antihistamines, stop scratching, identify triggers",Dermatologist,Low
Diabetic Ketoacidosis,"high blood sugar, nausea, vomiting, deep rapid breathing (Kussmaul), fruity breath, confusion","IV fluids, insulin infusion, electrolyte replacement, treat precipitating cause",Endocrinologist,High
Diabetic Nephropathy,"proteinuria, swelling (edema), hypertension, fatigue, decreased GFR","Tight glucose control, ACE inhibitors/ARBs, low-protein diet, monitor BP",Nephrologist,High
Diabetic Neuropathy,"numbness, tingling, burning pain (feet/legs), weakness, loss of reflexes","Tight glucose control, gabapentin or duloxetine, foot care, alpha-lipoic acid",Endocrinologist,Medium
Diabetic Retinopathy,"blurred vision, floaters, dark spots, difficulty seeing at night, vision loss","Tight glucose/BP control, laser photocoagulation, anti-VEGF injections, regular eye exams",Ophthalmologist,High
Diphtheria,"pseudomembrane in throat, sore throat, fever, bull neck, dysphagia","Antitoxin, antibiotics, isolation, vaccination, airway management",Infectious Disease Specialist,High
Diphyllobothriasis,"abdominal discomfort, fatigue, megaloblastic anemia (B12 deficiency), passage of proglottids","Praziquantel, vitamin B12 supplementation, cook fish thoroughly, avoid raw freshwater fish",Hematologist,Medium
