disease,symptoms,precautions,specialist,urgency
Meningitis,"severe headache, stiff neck, fever, nausea, photophobia","Emergency antibiotics/virals, isolation, vaccination prevention",Infectious Disease Specialist,High
Encephalitis,"fever, headache, confusion, seizures, sensitivity to light","Hospitalization, antivirals, supportive care, seizure control",Neurologist,High
Type 1 Diabetes,"thirst, frequent urination, weight loss, fatigue, blurred vision","Insulin therapy, carbohydrate counting, glucose monitoring, ketone testing",Endocrinologist,High
Type 2 Diabetes,"thirst, frequent urination, fatigue, blurred vision, slow healing","Diet, exercise, metformin, monitor glucose, foot care",Endocrinologist,Medium
Hypothyroidism,"fatigue, weight gain, cold intolerance, dry skin, depression","Levothyroxine, regular TSH monitoring, healthy diet, avoid iodine excess",Endocrinologist,Medium
Hyperthyroidism,"weight loss, heat intolerance, palpitations, anxiety, tremor","Antithyroid drugs, beta-blockers, radioactive iodine, avoid caffeine",Endocrinologist,Medium
Cushing's Syndrome,"weight gain (face/trunk), purple striae, hypertension, diabetes, easy bruising","Treat underlying cause, reduce steroids, monitor BP, bone density",Endocrinologist,High
Addison's Disease,"fatigue, hyperpigmentation, low BP, salt craving, nausea","Lifelong steroids, stress dosing, hydration, monitor electrolytes",Endocrinologist,High
Rheumatoid Arthritis,"joint pain/swelling, morning stiffness, fatigue, fever, rheumatoid nodules","DMARDs, physical therapy, rest, joint protection",Rheumatologist,Medium
Osteoarthritis,"joint pain, stiffness after rest, bone spurs, crepitus, reduced motion","Weight loss, exercise, NSAIDs, assistive devices",Orthopedist,Medium
Gout,"sudden severe joint pain, redness, swelling, warmth, tophi","Low-purine diet, hydration, NSAIDs, avoid alcohol",Rheumatologist,Medium
Lupus (SLE),"malar rash, joint pain, fatigue, photosensitivity, kidney problems","Avoid sun, corticosteroids, immunosuppressants, monitor organ function",Rheumatologist,High
Scleroderma,"skin thickening, Raynaud's, joint pain, digestive issues, lung fibrosis","Immunosuppressants, physical therapy, avoid cold, monitor BP",Rheumatologist,Medium
Psoriasis,"red plaques with silvery scales, itching, nail pitting, joint pain","Topical steroids, phototherapy, biologics, moisturize",Dermatologist,Medium
Eczema,"dry itchy skin, redness, crusting, weeping lesions, sleep disturbance","Moisturize, avoid triggers, topical steroids, antihistamines",Dermatologist,Low
Contact Dermatitis,"localized redness, blisters, itching, burning, dry cracked skin","Identify and avoid allergen, barrier creams, topical steroids, cool compresses",Dermatologist,Low
Acne Vulgaris,"comedones, pustules, cysts, redness, scars","Benzoyl peroxide, retinoids, avoid picking, gentle cleansing",Dermatologist,Low
Rosacea,"facial redness, visible blood vessels, bumps, eye irritation, flushing","Avoid triggers, topical metronidazole, sunscreen, gentle skincare",Dermatologist,Low
Melanoma,"new or changing mole, asymmetry, irregular border, color variation, large diameter","Sun protection, regular skin checks, excision, sentinel lymph node biopsy",Oncologist,High
Basal Cell Carcinoma,"pearly nodule, telangiectasias, bleeding, ulceration, waxy scar","Surgical excision, Mohs surgery, sun avoidance, regular follow-up",Dermatologist,Medium
Gastroenteritis,"diarrhea, vomiting, abdominal cramps, low-grade fever, nausea","Hydration, oral rehydration, bland diet, hand hygiene",General Practitioner,Medium
Peptic Ulcer Disease,"burning epigastric pain, bloating, nausea, dark stools, weight loss","PPIs, avoid NSAIDs, H. pylori treatment, avoid spicy food",Gastroenterologist,Medium
GERD,"heartburn, regurgitation, chest pain, difficulty swallowing, chronic cough","Elevate head, avoid trigger foods, antacids, weight loss",Gastroenterologist,Medium
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea/constipation, mucus in stool, urgency","FODMAP diet, stress management, fiber, probiotics",Gastroenterologist,Low
Crohn's Disease,"diarrhea, abdominal pain, weight loss, fever, perianal disease","Immunosuppressants, biologics, nutritional support, avoid smoking",Gastroenterologist,High
Ulcerative Colitis,"bloody diarrhea, urgency, abdominal pain, fatigue, weight loss","Aminosalicylates, biologics, hydration, colonoscopy surveillance",Gastroenterologist,High
Diverticulitis,"left lower quadrant pain, fever, nausea, constipation or diarrhea, bloating","Low-fiber diet then high-fiber, antibiotics, rest, fluids",Gastroenterologist,Medium
Gallstones,"right upper quadrant pain, nausea, vomiting, fatty food intolerance, jaundice","Low-fat diet, hydration, surgery if recurrent, pain management",General Surgeon,Medium
Pancreatitis,"severe epigastric pain radiating to back, nausea, vomiting, fever, tender abdomen","IV fluids, fasting, pain control, avoid alcohol",Gastroenterologist,High
Hepatitis A,"fatigue, nausea, jaundice, dark urine, abdominal pain","Vaccination, rest, hydration, avoid alcohol",Infectious Disease Specialist,Medium
Hepatitis B,"jaundice, dark urine, fatigue, joint pain, nausea","Antivirals, vaccination prevention, avoid alcohol, monitor liver",Hepatologist,High
Hepatitis C,"fatigue, jaundice, dark urine, easy bruising, ascites","Direct-acting antivirals, avoid alcohol, monitor fibrosis, vaccination for A/B",Hepatologist,High
Cirrhosis,"fatigue, jaundice, ascites, easy bleeding, confusion","Avoid alcohol, low-sodium diet, diuretics, monitor for liver cancer",Hepatologist,High
Fatty Liver Disease,"asymptomatic, fatigue, right upper quadrant discomfort, enlarged liver","Weight loss, exercise, avoid alcohol, control diabetes",Hepatologist,Medium
Kidney Stones,"severe flank pain, hematuria, nausea, vomiting, dysuria","Hydration (>2L/day), avoid oxalate-rich foods, pain control, strain urine",Urologist,High
Urinary Tract Infection,"dysuria, frequency, urgency, cloudy urine, suprapubic pain","Antibiotics, hydration, cranberry (prevention), void after intercourse",Urologist,Medium
Chronic Kidney Disease,"fatigue, swelling, decreased urine, shortness of breath, nausea","Control BP, low-protein diet, dialysis if advanced, avoid NSAIDs",Nephrologist,High
Acute Kidney Injury,"decreased urine output, fluid retention, fatigue, confusion, chest pain","Treat underlying cause, IV fluids, avoid nephrotoxins, monitor electrolytes",Nephrologist,High
Bladder Cancer,"hematuria, dysuria, frequency, back pain, pelvic pain","Smoking cessation, cystoscopy, surgery, immunotherapy",Urologist,High
Prostate Cancer,"difficulty urinating, blood in urine, erectile dysfunction, bone pain, weight loss","PSA screening, biopsy, radiation, surgery, hormone therapy",Urologist,High
Benign Prostatic Hyperplasia,"frequent urination, weak stream, urgency, nocturia, dribbling","Alpha-blockers, 5-ARIs, reduce caffeine, bladder training",Urologist,Medium
Testicular Torsion,"sudden severe testicular pain, swelling, nausea, vomiting, abnormal position","Emergency surgery, manual detorsion if possible, prompt care",Urologist,High
Ovarian Cyst,"pelvic pain, bloating, irregular periods, nausea, pain during intercourse","Watchful waiting, hormonal contraceptives, surgery if large",Gynecologist,Low
Endometriosis,"pelvic pain, painful periods, pain with intercourse, infertility, fatigue","NSAIDs, hormonal therapy, laparoscopy, pain management",Gynecologist,Medium
Polycystic Ovary Syndrome (PCOS),"irregular periods, excess hair growth, acne, weight gain, infertility","Lifestyle changes, metformin, hormonal contraceptives, anti-androgens",Gynecologist,Medium
Cervical Cancer,"abnormal bleeding, pelvic pain, painful intercourse, watery discharge, hematuria","HPV vaccination, Pap screening, surgery, radiation, chemotherapy",Oncologist,High
Breast Cancer,"breast lump, dimpling, nipple discharge, skin changes, swollen lymph nodes","Mammography, biopsy, surgery, chemo, hormonal therapy",Oncologist,High
Ovarian Cancer,"bloating, pelvic pain, early satiety, urinary urgency, fatigue","Surgery, chemotherapy, genetic counseling, CA-125 monitoring",Oncologist,High
Uterine Fibroids,"heavy periods, pelvic pressure, frequent urination, constipation, backache","Watchful waiting, hormonal meds, embolization, myomectomy",Gynecologist,Medium
Pelvic Inflammatory Disease,"lower abdominal pain, fever, abnormal discharge, dyspareunia, irregular bleeding","Antibiotics, treat partners, avoid douching, hospitalization if severe",Gynecologist,High
Chlamydia,"often asymptomatic, dysuria, discharge, testicular pain, rectal pain","Antibiotics (azithromycin), treat partners, retest, abstain during treatment",Infectious Disease Specialist,Medium
Gonorrhea,"dysuria, purulent discharge, testicular pain, rectal discomfort, pharyngitis","Antibiotics (ceftriaxone), treat partners, avoid sex, report to health department",Infectious Disease Specialist,High
Syphilis,"painless sore (chancre), rash on palms/soles, fever, lymphadenopathy, neurologic symptoms","Penicillin, treat partners, serial titers, avoid sex until cured",Infectious Disease Specialist,High
HIV/AIDS,"fever, fatigue, lymphadenopathy, night sweats, weight loss","ART, PrEP for prevention, safe sex, monitor CD4/viral load",Infectious Disease Specialist,High
Herpes Simplex,"painful vesicles, itching, burning, flu-like symptoms, ulcerations","Antivirals (acyclovir), avoid triggers, safe sex, topical analgesics",Dermatologist,Low
Shingles (Herpes Zoster),"unilateral painful rash, burning, tingling, headache, fever","Antivirals within 72h, vaccination, avoid contact with pregnant/immunocompromised",Infectious Disease Specialist,Medium
Mononucleosis,"severe fatigue, sore throat, fever, swollen lymph nodes, splenomegaly","Rest, hydration, avoid contact sports, acetaminophen, time",General Practitioner,Low
Malaria,"cyclic fever, chills, sweats, headache, muscle pain","Prophylaxis for travelers, antimalarials, mosquito nets, prompt treatment",Infectious Disease Specialist,High
Dengue Fever,"high fever, severe headache, retro-orbital pain, joint pain, rash","Hydration, avoid NSAIDs (risk bleeding), mosquito avoidance, hospital if bleeding",Infectious Disease Specialist,High
Zika Virus,"fever, rash, joint pain, conjunctivitis, headache","Avoid pregnancy during infection, mosquito control, supportive care, safe sex",Infectious Disease Specialist,Medium
Lyme Disease,"erythema migrans rash, fever, fatigue, joint pain, headache","Doxycycline, tick checks, protective clothing, remove ticks promptly",Infectious Disease Specialist,Medium
Tetanus,"muscle spasms, lockjaw, difficulty swallowing, rigidity, fever","Wound cleaning, tetanus vaccine, antitoxin, ICU support",Emergency Physician,High
Rabies,"anxiety, agitation, hydrophobia, paralysis, confusion","Post-exposure prophylaxis immediately, wash wound, avoid wildlife, vaccinate pets",Infectious Disease Specialist,High
Food Poisoning (Salmonella),"diarrhea, fever, abdominal cramps, nausea, vomiting","Hydration, rest, avoid antibiotics (usually), report outbreaks",General Practitioner,Medium
E. coli Infection,"bloody diarrhea, severe cramps, vomiting, little fever, possible HUS","Hydration, avoid antidiarrheals, monitor kidney function, supportive",Nephrologist,High
C. difficile Infection,"watery diarrhea, fever, abdominal pain, loss of appetite, colitis","Stop antibiotics if possible, oral vancomycin, probiotics, hand hygiene",Gastroenterologist,High
Sepsis,"fever, rapid heart rate, rapid breathing, confusion, low BP","Emergency IV fluids, broad-spectrum antibiotics, source control, vasopressors",Emergency Physician,High
Iron Deficiency Anemia,"fatigue, pallor, cold hands/feet, brittle nails, pica","Oral iron supplements, dietary iron, treat underlying bleeding, vitamin C",Hematologist,Medium
Hemophilia,"excessive bleeding, easy bruising, joint hemarthrosis, prolonged bleeding after injury","Factor replacement, avoid aspirin, prompt wound care, genetic counseling",Hematologist,High
Leukemia,"fatigue, fever, easy bruising/bleeding, bone pain, weight loss","Chemotherapy, targeted therapy, blood transfusion, infection prevention",Oncologist,High
Lymphoma,"painless lymphadenopathy, fever, night sweats, weight loss, pruritus","Chemotherapy, radiation, immunotherapy, stem cell transplant",Oncologist,High
Myeloma,"bone pain (spine), fatigue, recurrent infections, kidney failure, hypercalcemia","Chemotherapy, steroids, bisphosphonates, stem cell transplant",Hematologist,High
Sickle Cell Disease,"pain crises, anemia, swelling of hands/feet, fatigue, jaundice","Hydration, pain management, hydroxyurea, vaccinations, folic acid",Hematologist,High
Deep Vein Thrombosis,"leg swelling, pain, warmth, redness, discoloration","Anticoagulation, compression stockings, leg elevation, avoid prolonged sitting",Vascular Surgeon,High
Varicose Veins,"bulging veins, aching legs, heaviness, itching, skin changes","Compression stockings, exercise, elevate legs, laser or surgery",Vascular Surgeon,Low
Hemorrhoids,"rectal bleeding, itching, pain, swelling, prolapse","Fiber, hydration, sitz baths, avoid straining, topical creams",General Practitioner,Low
Conjunctivitis,"redness, itching, discharge, tearing, crusting","Hand hygiene, avoid sharing towels, warm compresses, artificial tears",Ophthalmologist,Low
Glaucoma,"vision loss (peripheral), eye pain, halos around lights, redness, nausea","Eye drops (prostaglandins), laser trabeculoplasty, regular eye exams, avoid steroids",Ophthalmologist,High
Cataracts,"blurry vision, glare at night, faded colors, double vision in one eye, frequent prescription changes","Surgery when symptomatic, UV protection, magnifying aids, regular check-ups",Ophthalmologist,Medium
Macular Degeneration,"central vision loss, wavy lines, difficulty reading, dark spot in center","AREDS2 vitamins, anti-VEGF injections, low vision aids, smoking cessation",Ophthalmologist,High
Retinal Detachment,"sudden floaters, light flashes, shadow in vision, curtain over visual field, blurred vision","Emergency surgery, face positioning, avoid eye rubbing, prompt evaluation",Ophthalmologist,High
Otitis Media,"ear pain, fever, irritability, hearing loss, ear drainage","Antibiotics if bacterial, pain relief, observation, avoid smoke",Otolaryngologist,Medium
Sinusitis,"facial pain/pressure, nasal congestion, postnasal drip, decreased smell, fever","Saline irrigation, decongestants, nasal steroids, antibiotics if bacterial",Otolaryngologist,Medium
Pharyngitis,"sore throat, pain with swallowing, fever, red tonsils, exudates","Rapid strep test, antibiotics if strep, warm fluids, rest",General Practitioner,Medium
Laryngitis,"hoarseness, loss of voice, throat tickle, dry cough, mild fever","Voice rest, hydration, humidifier, avoid irritants",General Practitioner,Low
Tonsillitis,"sore throat, red/swollen tonsils, white patches, fever, difficulty swallowing","Antibiotics if bacterial, pain relief, tonsillectomy if recurrent, hydration",Otolaryngologist,Medium
Appendicitis,"periumbilical pain migrating to RLQ, nausea, fever, anorexia, rebound tenderness","Emergency appendectomy, IV fluids, antibiotics, avoid laxatives",General Surgeon,High
Peritonitis,"severe abdominal pain, abdominal rigidity, distension, fever, nausea","Emergency surgery, broad-spectrum antibiotics, IV fluids, ICU care",General Surgeon,High
Cellulitis,"redness, warmth, swelling, tenderness, fever","Oral or IV antibiotics, elevate limb, monitor for abscess, treat portal of entry",Dermatologist,Medium
Abscess,"painful lump, redness, pus drainage, fever, swelling","Incision and drainage, antibiotics, warm compresses, proper wound care",General Surgeon,Medium
Necrotizing Fasciitis,"severe pain, skin discoloration, bullae, fever, crepitus","Emergency surgical debridement, IV antibiotics, ICU support, hyperbaric oxygen",Emergency Physician,High
Osteomyelitis,"bone pain, fever, malaise, redness over bone, sinus tract draining pus","IV antibiotics (prolonged), surgical debridement, immobilization, pain control",Orthopedist,High
Mumps,"parotitis (swollen cheeks), fever, headache, testicular pain, hearing loss","Vaccination (MMR), supportive care, isolation, analgesics",General Practitioner,Medium
Measles,"high fever, cough, coryza, conjunctivitis, Koplik spots, rash","MMR vaccine, isolation, vitamin A, supportive care",Infectious Disease Specialist,High
Rubella,"mild fever, rash (start face), lymphadenopathy, joint pain, conjunctivitis","Isolation, MMR vaccine, avoid pregnant women, supportive",General Practitioner,Low
Whooping Cough (Pertussis),"severe coughing fits, whoop sound, post-tussive vomiting, apnea in infants, fever","Antibiotics (azithromycin), isolation, vaccination (DTaP), supportive",Infectious Disease Specialist,High
Diphtheria,"pseudomembrane in throat, sore throat, fever, bull neck, dysphagia","Antitoxin, antibiotics, isolation, vaccination, airway management",Infectious Disease Specialist,High
Polio,"flu-like then asymmetric paralysis, muscle pain, fever, headache, loss of reflexes","Vaccination (IPV/OPV), supportive care, physical therapy, respiratory support",Infectious Disease Specialist,High
Chickenpox,"vesicular rash (itchy), fever, fatigue, headache, loss of appetite","Antihistamines, cool baths, avoid scratching, vaccination, antivirals if severe",General Practitioner,Low
Hand Foot and Mouth Disease,"oral ulcers, rash on hands/feet, fever, sore throat, irritability","Hydration, rest, fever control, good hygiene, avoid daycare",Pediatrician,Low
Fifth Disease,"slapped cheek rash, lacy rash on trunk, mild fever, joint pain, headache","Symptomatic care, avoid pregnant women, antihistamines, rest",General Practitioner,Low
Scarlet Fever,"fine red rash (sandpaper), strawberry tongue, fever, sore throat, flushing","Antibiotics (penicillin), cool baths, fever control, isolation",General Practitioner,Medium
Rheumatic Fever,"arthritis, carditis, chorea, subcutaneous nodules, erythema marginatum","Penicillin prophylaxis, anti-inflammatory, bed rest, manage heart failure",Cardiologist,High
Kawasaki Disease,"fever >5 days, conjunctivitis, rash, cervical lymphadenopathy, red tongue","IVIG, aspirin, echocardiogram, avoid live vaccines for 11 months",Pediatrician,High
Anaphylaxis,"hives, swelling, difficulty breathing, wheezing, hypotension, GI symptoms","Epinephrine auto-injector, call emergency, lay flat, antihistamines secondary",Emergency Physician,High
Allergic Rhinitis,"sneezing, runny nose, nasal congestion, itchy eyes, postnasal drip","Antihistamines, nasal steroids, allergen avoidance, immunotherapy",Allergist,Low
Food Allergy,"urticaria, vomiting, diarrhea, oral itching, anaphylaxis in severe","Strict avoidance, epinephrine pen, read labels, medical alert bracelet",Allergist,High
Drug Allergy,"rash, hives, fever, eosinophilia, anaphylaxis, Stevens-Johnson syndrome","Stop drug, antihistamines, desensitization if necessary, avoid cross-reactive drugs",Allergist,High
Eosinophilic Esophagitis,"dysphagia, food impaction, heartburn, chest pain, nausea","Dietary elimination, topical steroids, dilation if stricture, PPI trial",Gastroenterologist,Medium
Celiac Disease,"diarrhea, bloating, fatigue, anemia, weight loss, dermatitis herpetiformis","Strict gluten-free diet, nutritional supplements, monitor bone density, gastroenterology follow-up",Gastroenterologist,Medium
Lactose Intolerance,"bloating, diarrhea, abdominal cramps, flatulence, nausea after dairy","Lactose-free diet, lactase supplements, calcium supplementation, reading labels",General Practitioner,Low
Vitamin B12 Deficiency,"fatigue, pallor, paresthesia, balance problems, cognitive changes","Oral or IM B12, dietary sources (meat/eggs), treat pernicious anemia, monitor levels",Hematologist,Medium
Scurvy,"bleeding gums, petechiae, poor wound healing, joint pain, corkscrew hairs","Vitamin C supplementation, citrus fruits, smoking cessation, treat underlying malnutrition",General Practitioner,Low
Rickets,"bone pain, bowed legs, muscle weakness, delayed growth, fractures","Vitamin D and calcium supplementation, sun exposure, correct metabolic abnormalities",Pediatrician,Medium
Osteoporosis,"fractures, loss of height, back pain, stooped posture, bone fragility","Calcium/vitamin D, weight-bearing exercise, bisphosphonates, fall prevention",Endocrinologist,Medium
Paget's Disease of Bone,"bone pain, enlarged bones, fractures, bowed limbs, headache","Bisphosphonates, analgesics, physical therapy, orthopedic surgery if needed",Rheumatologist,Medium
Carpal Tunnel Syndrome,"numbness/tingling in thumb/index/middle, hand pain at night, weakness, clumsiness","Wrist splint, NSAIDs, corticosteroid injection, surgery if severe",Orthopedist,Medium
Tennis Elbow,"lateral elbow pain, weak grip, pain with wrist extension, tenderness, morning stiffness","Rest, ice, brace, physical therapy, corticosteroid injection",Orthopedist,Low
Rotator Cuff Injury,"shoulder pain, weakness, limited range of motion, night pain, clicking","Rest, physical therapy, NSAIDs, steroid injection, surgery for tears",Orthopedist,Medium
ACL Tear,"sudden knee popping, swelling, instability, pain, difficulty walking","RICE (rest, ice, compression, elevation), physical therapy, surgery for active individuals",Orthopedist,High
Meniscus Tear,"knee pain, swelling, locking, catching, difficulty squatting","Rest, physical therapy, surgery if locking or instability, avoid pivoting",Orthopedist,Medium
Herniated Disc,"radiating leg/arm pain, numbness, weakness, back/neck pain, cauda equina symptoms","Physical therapy, NSAIDs, epidural steroid, surgery if neurological deficits",Neurologist,High
Sciatica,"unilateral leg pain, tingling, numbness, weakness, worse with sitting","Physical therapy, NSAIDs, muscle relaxants, avoid heavy lifting",Orthopedist,Medium
Spinal Stenosis,"leg pain/cramping with walking (neurogenic claudication), numbness, weakness, balance problems","Physical therapy, epidural injections, decompression surgery, activity modification",Orthopedist,Medium
Scoliosis,"curved spine, uneven shoulders, rib hump, back pain, gait abnormality","Observation, bracing, physical therapy, surgery for severe curves",Orthopedist,Medium
Kyphosis,"forward rounding of back, back pain, stiffness, fatigue, hunchback posture","Postural exercises, bracing, pain management, surgery for severe",Orthopedist,Medium
Fibromyalgia,"widespread pain, fatigue, sleep disturbance, cognitive fog, headaches","Exercise, CBT, medications (pregabalin, duloxetine), stress management",Rheumatologist,Low
Chronic Fatigue Syndrome,"severe fatigue, post-exertional malaise, unrefreshing sleep, cognitive issues, orthostatic intolerance","Activity pacing, sleep hygiene, CBT, graded exercise therapy (controversial)",General Practitioner,Medium
Complex Regional Pain Syndrome,"severe burning pain, swelling, color changes, temperature changes, allodynia","Physical therapy, pain meds (gabapentin), sympathetic nerve blocks, psychotherapy",Pain Specialist,High
Guillain-Barré Syndrome,"ascending weakness, tingling, areflexia, facial weakness, respiratory failure","IVIG or plasmapheresis, respiratory support, physical therapy, monitor autonomic function",Neurologist,High
Myasthenia Gravis,"fatigable muscle weakness (ptosis, diplopia, dysphagia, limb weakness), worse with activity","Acetylcholinesterase inhibitors, immunosuppression, thymectomy, avoid certain drugs",Neurologist,High
Bell's Palsy,"unilateral facial droop, drooling, decreased taste, ear pain, difficulty closing eye","Corticosteroids within 72h, antivirals if severe, eye lubrication, physical therapy",Neurologist,Medium
Trigeminal Neuralgia,"severe facial pain (electric shock-like), triggered by touch/chewing, burning sensation","Carbamazepine, nerve block, microvascular decompression, avoid triggers",Neurologist,Medium
Restless Legs Syndrome,"urge to move legs, worse at rest, evening worsening, relief with movement, sleep disturbance","Iron supplementation if deficient, dopamine agonists, avoid caffeine, leg massage",Neurologist,Low
Narcolepsy,"excessive daytime sleepiness, cataplexy, sleep paralysis, hallucinations, disrupted night sleep","Stimulants, sodium oxybate, scheduled naps, good sleep hygiene",Sleep Specialist,Medium
Insomnia,"difficulty falling/staying asleep, early waking, daytime fatigue, irritability, poor concentration","Sleep hygiene, CBT-I, limit caffeine, melatonin if appropriate, treat underlying cause",General Practitioner,Low
Sleep Apnea,"snoring, gasping during sleep, daytime sleepiness, morning headache, dry throat","CPAP, oral appliance, weight loss, avoid alcohol before bed, position therapy",Pulmonologist,Medium
Depression,"persistent sadness, loss of interest, fatigue, sleep disturbance, appetite change, suicidal thoughts","Psychotherapy (CBT), antidepressants, exercise, social support, safety plan",Psychiatrist,Medium
Generalized Anxiety Disorder,"excessive worry, restlessness, muscle tension, sleep disturbance, irritability","CBT, SSRIs/SNRIs, relaxation techniques, avoid caffeine, regular exercise",Psychiatrist,Medium
Panic Disorder,"recurrent panic attacks, palpitations, shortness of breath, fear of dying, avoidance behavior","CBT, SSRIs, benzodiazepines short-term, breathing exercises, psychoeducation",Psychiatrist,Medium
Social Anxiety Disorder,"intense fear of social situations, blushing, trembling, nausea, avoidance","CBT, SSRIs, group therapy, exposure therapy, beta-blockers for performance",Psychiatrist,Medium
PTSD,"flashbacks, nightmares, hypervigilance, avoidance of triggers, negative mood","Trauma-focused CBT, EMDR, SSRIs, grounding techniques, support groups",Psychiatrist,Medium
OCD,"obsessions (unwanted thoughts), compulsions (repetitive behaviors), distress, time-consuming","CBT with ERP, SSRIs, reduce reassurance seeking, mindfulness",Psychiatrist,Medium
Bipolar Disorder,"mania (elevated mood, decreased need sleep, impulsivity), depression, mixed episodes","Mood stabilizers (lithium), antipsychotics, psychotherapy, regular sleep",Psychiatrist,High
Schizophrenia,"hallucinations, delusions, disorganized speech, negative symptoms, cognitive deficits","Antipsychotics, CBT, family support, vocational rehab, monitor for metabolic syndrome",Psychiatrist,High
Anorexia Nervosa,"low body weight, intense fear of weight gain, distorted body image, amenorrhea, restrictive eating","Refeeding, weight restoration, family-based therapy, CBT, medical monitoring",Psychiatrist,High
Bulimia Nervosa,"binge eating, compensatory behaviors (vomiting, laxatives), preoccupation weight, electrolyte imbalance","CBT, nutritional counseling, SSRIs, monitor electrolytes, stop purging",Psychiatrist,High
ADHD,"inattention, hyperactivity, impulsivity, disorganization, poor time management","Behavioral therapy, stimulants/non-stimulants, organizational skills, parent training",Psychiatrist,Medium
Autism Spectrum Disorder,"social communication deficits, repetitive behaviors, restricted interests, sensory issues","Behavioral interventions (ABA), speech/occupational therapy, social skills training, medications for comorbidities",Psychiatrist,Medium
Tourette Syndrome,"motor and vocal tics, premonitory urge, waxing-waning course, associated behavioral issues","CBIT, alpha-agonists, antipsychotics for severe, education",Neurologist,Medium
Lewy Body Dementia,"cognitive fluctuations, visual hallucinations, parkinsonism, REM sleep behavior disorder, falls","Cholinesterase inhibitors, avoid antipsychotics, physical therapy, sleep safety",Neurologist,High
Frontotemporal Dementia,"personality changes, apathy, disinhibition, language difficulties, compulsive behaviors","Symptomatic management, speech therapy, caregiver support, safety measures",Neurologist,High
Huntington's Disease,"chorea, cognitive decline, psychiatric symptoms, difficulty swallowing, gait impairment","Tetrabenazine for chorea, antidepressants, genetic counseling, physical/occupational therapy",Neurologist,High
